Points_0,Points_1,Points_2,ux
0.5,0,0.5,-0.000910959
0.5,0.008,0.5,-0.00266776
0.5,0.016,0.5,-0.00426471
0.5,0.024,0.5,-0.00569661
0.5,0.032,0.5,-0.00697116
0.5,0.04,0.5,-0.00809142
0.5,0.048,0.5,-0.00907229
0.5,0.056,0.5,-0.00992387
0.5,0.064,0.5,-0.0106642
0.5,0.072,0.5,-0.0113018
0.5,0.08,0.5,-0.0118492
0.5,0.088,0.5,-0.01231
0.5,0.096,0.5,-0.0126892
0.5,0.104,0.5,-0.0129859
0.5,0.112,0.5,-0.0132017
0.5,0.12,0.5,-0.013334
0.5,0.128,0.5,-0.0133849
0.5,0.136,0.5,-0.0133536
0.5,0.144,0.5,-0.0132448
0.5,0.152,0.5,-0.0130604
0.5,0.16,0.5,-0.0128078
0.5,0.168,0.5,-0.0124922
0.5,0.176,0.5,-0.0121225
0.5,0.184,0.5,-0.0117059
0.5,0.192,0.5,-0.0112517
0.5,0.2,0.5,-0.0107675
0.5,0.208,0.5,-0.010262
0.5,0.216,0.5,-0.00974271
0.5,0.224,0.5,-0.00921727
0.5,0.232,0.5,-0.00869125
0.5,0.24,0.5,-0.00817048
0.5,0.248,0.5,-0.00765904
0.5,0.256,0.5,-0.00716116
0.5,0.264,0.5,-0.00667927
0.5,0.272,0.5,-0.00621617
0.5,0.28,0.5,-0.00577268
0.5,0.288,0.5,-0.00535043
0.5,0.296,0.5,-0.00494929
0.5,0.304,0.5,-0.00456972
0.5,0.312,0.5,-0.00421091
0.5,0.32,0.5,-0.00387273
0.5,0.328,0.5,-0.00355429
0.5,0.336,0.5,-0.00297235
0.5,0.344,0.5,-0.0027072
0.5,0.352,0.5,-0.00245772
0.5,0.36,0.5,-0.00222257
0.5,0.368,0.5,-0.00200075
0.5,0.376,0.5,-0.00179182
0.5,0.384,0.5,-0.00159443
0.5,0.392,0.5,-0.00140753
0.5,0.4,0.5,-0.00123028
0.5,0.408,0.5,-0.00106235
0.5,0.416,0.5,-0.000901777
0.5,0.424,0.5,-0.000747738
0.5,0.432,0.5,-0.000601157
0.5,0.44,0.5,-0.000461385
0.5,0.448,0.5,-0.00032599
0.5,0.456,0.5,-0.000195552
0.5,0.464,0.5,-7.07968e-05
0.5,0.472,0.5,5.07589e-05
0.5,0.48,0.5,0.000169865
0.5,0.488,0.5,0.000284721
0.5,0.496,0.5,0.000395541
0.5,0.504,0.5,0.000505942
0.5,0.512,0.5,0.00061508
0.5,0.52,0.5,0.000720146
0.5,0.528,0.5,0.000823846
0.5,0.536,0.5,0.000928371
0.5,0.544,0.5,0.00103043
0.5,0.552,0.5,0.00112932
0.5,0.56,0.5,0.00123057
0.5,0.568,0.5,0.00133307
0.5,0.576,0.5,0.00143095
0.5,0.584,0.5,0.0015283
0.5,0.592,0.5,0.00163075
0.5,0.6,0.5,0.00173151
0.5,0.608,0.5,0.00182745
0.5,0.616,0.5,0.00192791
0.5,0.624,0.5,0.00203275
0.5,0.632,0.5,0.00213226
0.5,0.64,0.5,0.00223066
0.5,0.648,0.5,0.00233789
0.5,0.656,0.5,0.00244532
0.5,0.664,0.5,0.00254493
0.5,0.672,0.5,0.00276552
0.5,0.68,0.5,0.00287314
0.5,0.688,0.5,0.00297757
0.5,0.696,0.5,0.00309524
0.5,0.704,0.5,0.00321452
0.5,0.712,0.5,0.00332378
0.5,0.72,0.5,0.00344022
0.5,0.728,0.5,0.00357056
0.5,0.736,0.5,0.00369287
0.5,0.744,0.5,0.00381089
0.5,0.752,0.5,0.00394563
0.5,0.76,0.5,0.00408612
0.5,0.768,0.5,0.00421353
0.5,0.776,0.5,0.00434919
0.5,0.784,0.5,0.00450404
0.5,0.792,0.5,0.00465242
0.5,0.8,0.5,0.00479334
0.5,0.808,0.5,0.00495587
0.5,0.816,0.5,0.00512967
0.5,0.824,0.5,0.00529056
0.5,0.832,0.5,0.0054598
0.5,0.84,0.5,0.00565711
0.5,0.848,0.5,0.00585321
0.5,0.856,0.5,0.00604538
0.5,0.864,0.5,0.00626773
0.5,0.872,0.5,0.00651941
0.5,0.88,0.5,0.00677559
0.5,0.888,0.5,0.0070685
0.5,0.896,0.5,0.00743461
0.5,0.904,0.5,0.00786977
0.5,0.912,0.5,0.00839703
0.5,0.92,0.5,0.00909947
0.5,0.928,0.5,0.0100398
0.5,0.936,0.5,0.0112773
0.5,0.944,0.5,0.0129421
0.5,0.952,0.5,0.015194
0.5,0.96,0.5,0.0181527
0.5,0.968,0.5,0.0219497
0.5,0.976,0.5,0.0267068
0.5,0.984,0.5,0.0324288
0.5,0.992,0.5,0.0389712
0.5,1,0.5,0.0460678
