z, v
-0.9283504525092943, 0.05803409363080139
-0.90510300744798, 0.06132024982333617
-0.8828663208675922, 0.06363988948865487
-0.8505220494779375, 0.06692604568118965
-0.8161562611264295, 0.07021220187372446
-0.7726936464465808, 0.07485148120436183
-0.7403493750569259, 0.07485148120436183
-0.7100266206291244, 0.08045727706221528
-0.6746500737966894, 0.07833094070233981
-0.6503918702544484, 0.07485148120436183
-0.6291659421549873, 0.06248006965599551
-0.6109722894983067, 0.051268477940288576
-0.5998539462081127, 0.0346443936721714
-0.5857033274751386, 0.02130646559658897
-0.5705419502612381, 0.006615414382904028
-0.5574020900091909, -0.005562693860019036
-0.5422407127952902, -0.018900621935601464
-0.5260685771004627, -0.030112213651308367
-0.5109071998865622, -0.03455818967650248
-0.49170278874895446, -0.04460996155955016
-0.47249837761134694, -0.053308610304495185
-0.45026169103095937, -0.05988092268956474
-0.4260034874887182, -0.06896617804539629
-0.4027560424274037, -0.0710925144052717
-0.3825408728088695, -0.07689161356856838
-0.3613149447094086, -0.0788246466230006
-0.3400890166099475, -0.083463925953638
-0.3198738469914135, -0.08249740942642186
-0.29359412648731875, -0.08443044248085413
-0.2713574399069312, -0.08133758959376253
-0.24305620244098325, -0.0823041061209786
-0.21677648193688848, -0.07669831026312518
-0.18645372750908717, -0.0710925144052717
-0.16017400700499262, -0.06452020202020214
-0.13187276953904492, -0.05446843013715447
-0.10761456599680375, -0.04557647808676624
-0.08335636245456257, -0.03784434586903729
-0.06415195131695506, -0.025472934320671048
-0.03585071385100713, -0.014454645910407321
-0.014624785751546021, -0.003243054194700362
0.008622659309768466, 0.008935054048222674
0.035913138294789704, 0.017827006098610987
0.05814982487517728, 0.028072081287101813
0.08645106234112498, 0.03909036969736551
0.1157630582879996, 0.05010865810762924
0.1410320203111679, 0.06363988948865487
0.1774193256245291, 0.0723385382335999
0.20470980460955035, 0.08142379358943141
0.24514014384661875, 0.0849032530874094
0.27950593219812747, 0.0889626225017171
0.31185020358778237, 0.08915592580716034
0.3452052334583633, 0.08934922911260354
0.372495712443385, 0.09166886877792224
0.39372164054284564, 0.08934922911260354
0.41696908560416013, 0.08470994978196619
0.43819501370362124, 0.07929745722955592
0.45638866636030206, 0.07485148120436183
0.473571560536056, 0.06808586551384899
0.48974369623088343, 0.05803409363080139
0.5079373488875643, 0.04585598538787833
0.5291632769870254, 0.033677877144955265
0.5453354126818528, 0.02130646559658897
0.5594860314148264, 0.004489078023028559
0.572625891666874, -0.012328309550531852
0.5908195443235544, -0.0287590905132058
0.6090131969802357, -0.04789611775208491
0.6363036759652565, -0.05910770946779187
0.6534865701410109, -0.06452020202020214
0.674712498240472, -0.06452020202020214
0.7020029772254932, -0.06452020202020214
0.7292934562105144, -0.05988092268956474
0.7495086258290486, -0.05910770946779187
0.7767991048140699, -0.05794788963513253
0.8000465498753844, -0.053115306999051926
0.829358545822259, -0.053308610304495185
0.8586705417691336, -0.05234209377727905
0.8900040546778616, -0.04654299461398237
0.9233590845484434, -0.04673629791942557
0.9476172880906844, -0.0444166582541069
